data.subscription_type,data.username,data.name,data.description,data.profile_banner_url,data.most_recent_tweet_id,data.receives_your_dm,data.verified,data.pinned_tweet_id,data.verified_type,data.profile_image_url,data.url,data.protected,data.id,data.created_at,data.entities.url.urls,data.entities.description.urls,data.public_metrics.followers_count,data.public_metrics.following_count,data.public_metrics.tweet_count,data.public_metrics.listed_count,data.public_metrics.like_count,data.location,data.entities.description.mentions,data.entities.description.hashtags
None,BiancaNogrady,Bianca Nogrady,Freelance science journalist ~ @nature @guardian @satpaper @WiredUK etc ~ biancanogrady@aus.social ~ https://t.co/nM686HvZrY ~ https://t.co/P0sPL5fDJ9 ~,https://pbs.twimg.com/profile_banners/14596837/1519775234,1769514672628330518,False,False,1711922658965860388,none,https://pbs.twimg.com/profile_images/191730372/Bianca_hair_normal.jpg,https://t.co/udPpfUQ8Rb,True,14596837,2008-04-30T06:04:28.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/udPpfUQ8Rb', 'expanded_url': 'http://www.biancanogrady.com', 'display_url': 'biancanogrady.com'}]","[{'start': 101, 'end': 124, 'url': 'https://t.co/nM686HvZrY', 'expanded_url': 'http://biancanogrady.bsky.social', 'display_url': 'biancanogrady.bsky.social'}, {'start': 127, 'end': 150, 'url': 'https://t.co/P0sPL5fDJ9', 'expanded_url': 'http://biancanogrady.substack.com', 'display_url': 'biancanogrady.substack.com'}]",4063,5418,12509,118,20622,"Darug/Gundungurra lands, Aus","[{'start': 31, 'end': 38, 'username': 'nature'}, {'start': 39, 'end': 48, 'username': 'guardian'}, {'start': 49, 'end': 58, 'username': 'satpaper'}, {'start': 59, 'end': 67, 'username': 'WiredUK'}]",
None,walter_report,Walter Report 🇺🇦,"🇺🇦
Breaking news, reports, and opinions from Ukraine.

📧 thewalterreports@gmail.com",https://pbs.twimg.com/profile_banners/1513277611941629956/1649629406,1844844789310926939,False,False,1639533994458112001,none,https://pbs.twimg.com/profile_images/1598412635107631108/9FvA1dnQ_normal.png,https://t.co/azTFMhWBAJ,False,1513277611941629956,2022-04-10T22:08:10.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/azTFMhWBAJ', 'expanded_url': 'https://walterreport.substack.com/', 'display_url': 'walterreport.substack.com'}]",,42632,1166,36732,879,71085,,,
None,ThisIsTrue,Randy Cassingham,"Pioneering Online Creator: Since 1994.
See header at https://t.co/7QRhIOrNUV for “all” of my social links.",https://pbs.twimg.com/profile_banners/11381132/1564971155,1825157121773555843,False,False,,none,https://pbs.twimg.com/profile_images/583443702816772097/B80cuC4R_normal.jpg,https://t.co/vEwhfrpKI2,False,11381132,2007-12-20T19:13:39.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/vEwhfrpKI2', 'expanded_url': 'https://thisistrue.com/rc', 'display_url': 'thisistrue.com/rc'}]","[{'start': 53, 'end': 76, 'url': 'https://t.co/7QRhIOrNUV', 'expanded_url': 'http://thisistrue.com', 'display_url': 'thisistrue.com'}]",2820,44,7606,154,1681,"Online, Baby! No fixed address",,
None,anneapplebaum,Anne Applebaum,"@TheAtlantic and @SNFAgoraJHU 
Author of Gulag, Iron Curtain, Red Famine, Twilight of Democracy and now AUTOCRACY INC",https://pbs.twimg.com/profile_banners/297100174/1724005312,1844841256402530775,False,True,1815685218851811795,blue,https://pbs.twimg.com/profile_images/1298657574196334594/G7_P6eHF_normal.jpg,https://t.co/6kD1DJlC04,False,297100174,2011-05-11T23:00:23.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/6kD1DJlC04', 'expanded_url': 'http://linktr.ee/anneapplebaum', 'display_url': 'linktr.ee/anneapplebaum'}]",,593254,731,36761,8096,9158,"Warsaw, London, Washington","[{'start': 0, 'end': 12, 'username': 'TheAtlantic'}, {'start': 17, 'end': 29, 'username': 'SNFAgoraJHU'}]",
None,prBClark,Bryan Clark,"Opinion writer for the @IdahoStatesman. Secretary of @IdahoNewsGuild, @PacNWGuild. brclark@idahostatesman.com (he/him)",https://pbs.twimg.com/profile_banners/1117234123/1661709355,1836170405142204902,False,False,,none,https://pbs.twimg.com/profile_images/1458173768983924739/yBcqMyjB_normal.jpg,https://t.co/QlPlM7t5mb,False,1117234123,2013-01-24T16:47:08.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/QlPlM7t5mb', 'expanded_url': 'https://www.idahostatesman.com/profile/254997982', 'display_url': 'idahostatesman.com/profile/254997…'}]",,1430,846,1979,41,1025,"Idaho Falls, ID","[{'start': 23, 'end': 38, 'username': 'IdahoStatesman'}, {'start': 53, 'end': 68, 'username': 'IdahoNewsGuild'}, {'start': 70, 'end': 81, 'username': 'PacNWGuild'}]",
None,ninaberries,nina gregory,"previously: head of news @clubhouse. senior editor on the culture desk @npr. born and raised in hollywood, california.",https://pbs.twimg.com/profile_banners/6170212/1500748173,1693145588907606066,False,False,,none,https://pbs.twimg.com/profile_images/1440434126264279044/uz8gh0DW_normal.jpg,,False,6170212,2007-05-20T02:41:54.000Z,,,5385,3322,16101,0,62183,los angeles,"[{'start': 25, 'end': 35, 'username': 'clubhouse'}, {'start': 71, 'end': 75, 'username': 'npr'}]",
None,MichaelAldenFL,Michael Alden,Glass house 🏠 White Ferrari 🚔 Live for New Year’s Eve 🍾 Sloppy steaks at Truffoni's 🥩,https://pbs.twimg.com/profile_banners/1299074590073905152/1715989846,1844112312581410961,False,False,,none,https://pbs.twimg.com/profile_images/1766680557461680129/ouF07XBE_normal.jpg,,False,1299074590073905152,2020-08-27T20:01:48.000Z,,,187,514,536,0,466,"St Pete Beach, FL",,
None,davidhooper,David Hooper,"I help you build a podcast/radio audience.

Link in bio for the podcast, books, and up-to-date info.",https://pbs.twimg.com/profile_banners/14464655/1493868978,1843162535270420571,False,False,1532941626972291073,none,https://pbs.twimg.com/profile_images/1609112589891518465/hjw8z9z2_normal.jpg,https://t.co/2vMeeTkw1V,False,14464655,2008-04-21T17:44:28.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/2vMeeTkw1V', 'expanded_url': 'https://bigpod.net/davidhooper', 'display_url': 'bigpod.net/davidhooper'}]",,8849,114,18643,682,50359,"Nashville, TN",,
None,BordenBathory,Misery Lizzness,"Chicago Emo Queen
@xemosocialclubx | @WRSE887fm GM
Media Lecturer | DJ @emonitela-CHI
✍️🎙: @BlockClubChi, @idobiradio, @WBBMNewsradio
she/her",https://pbs.twimg.com/profile_banners/785981372/1712720723,1844820815998513436,False,False,1737596757733695801,none,https://pbs.twimg.com/profile_images/1754748385901395968/Yi7BnasL_normal.jpg,https://t.co/EPIB8AYJ2O,False,785981372,2012-08-28T02:17:41.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/EPIB8AYJ2O', 'expanded_url': 'http://linktr.ee/bordenbathory', 'display_url': 'linktr.ee/bordenbathory'}]",,784,1012,21251,7,47064,"Somewhere Nearby Fullerton, IL","[{'start': 18, 'end': 34, 'username': 'xemosocialclubx'}, {'start': 37, 'end': 47, 'username': 'WRSE887fm'}, {'start': 71, 'end': 81, 'username': 'emonitela'}, {'start': 91, 'end': 104, 'username': 'BlockClubChi'}, {'start': 106, 'end': 117, 'username': 'idobiradio'}, {'start': 119, 'end': 133, 'username': 'WBBMNewsradio'}]",
None,LaurenGoode,Lauren Goode,Senior writer @WIRED. DMs open. Signal @ ChaoticGoode.12 for tips on what's happening in Silicon Valley and its impact beyond (no PR pitches there),https://pbs.twimg.com/profile_banners/22843337/1615558860,1844733890977833078,False,True,1823433398494617956,blue,https://pbs.twimg.com/profile_images/1788238220511379457/HZnmHW2__normal.jpg,https://t.co/XWopAF5CNu,False,22843337,2009-03-04T22:09:23.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/XWopAF5CNu', 'expanded_url': 'https://www.wired.com/', 'display_url': 'wired.com'}]",,96356,2310,12802,3008,39822,San Francisco,"[{'start': 14, 'end': 20, 'username': 'WIRED'}]",
None,jadelson,Jeff Adelson,"Politics, drains and data: three things that work best when clean. Staff writer for The Times-Picayune and The Advocate. Reach me at jadelson@theadvocate.com",https://pbs.twimg.com/profile_banners/21138089/1578866869,1828795892557902160,False,False,1592936780344758272,none,https://pbs.twimg.com/profile_images/344513261571485730/b7365bdbf31906811eba89e78a32c50c_normal.jpeg,https://t.co/HVyRkt6PDJ,False,21138089,2009-02-17T22:19:25.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/HVyRkt6PDJ', 'expanded_url': 'http://nola.com', 'display_url': 'nola.com'}]",,8060,1782,15778,275,1939,"New Orleans, LA",,
None,ashtonpittman,Ashton Pittman,News Editor @MSFreePress •Head of the Mississippi Chapter of the Rainbow Supremacists •Husband+Pibble dad •Opinions=Mine •Tips: ashton@mississippifreepress.org,https://pbs.twimg.com/profile_banners/44808326/1715525926,1844862421296418880,False,False,1788728458509500620,none,https://pbs.twimg.com/profile_images/1680782857751371776/6b8U84De_normal.jpg,https://t.co/8nZC8x4DgY,False,44808326,2009-06-05T03:17:15.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/8nZC8x4DgY', 'expanded_url': 'http://www.mississippifreepress.org', 'display_url': 'mississippifreepress.org'}]",,53965,21468,156178,757,141549,"Hattiesburg, MS","[{'start': 12, 'end': 24, 'username': 'MSFreePress'}]",
None,davidreevely,David Reevely,"Ottawa reporter for @The_Logic. The feds, Ontario, health, space, telecom. Alum of the Ottawa Citizen and Canadian Press. He/his. @davidreevely@mastodon.social",https://pbs.twimg.com/profile_banners/9870782/1689169047,1844758547386528045,False,False,,none,https://pbs.twimg.com/profile_images/801218238751371265/60rO2UKV_normal.jpg,https://t.co/zZ00Y50Fyx,False,9870782,2007-11-02T01:24:45.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/zZ00Y50Fyx', 'expanded_url': 'https://thelogic.co/author/dreevely/', 'display_url': 'thelogic.co/author/dreevel…'}]",,19904,2913,70856,612,25,"Ottawa, Ontario, Canada","[{'start': 20, 'end': 30, 'username': 'The_Logic'}]",
None,petertubbs,petertubbs,"Producer/Director for Market to Market at Iowa PBS.  Claps on 2 & 4
Also @petertubbs.bsky.social @petertubbs@journa.host on Mastodon",https://pbs.twimg.com/profile_banners/18037682/1586613368,1822985344435826714,False,False,,none,https://pbs.twimg.com/profile_images/1445754885551525892/BTFUnjO3_normal.jpg,https://t.co/86VMWZdRHr,False,18037682,2008-12-11T02:01:02.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/86VMWZdRHr', 'expanded_url': 'http://markettomarket.org', 'display_url': 'markettomarket.org'}]",,646,1812,4919,22,2108,worldwide,"[{'start': 73, 'end': 84, 'username': 'petertubbs'}]",
None,b0yle,Alan Boyle 👽,Mastermind of @CosmicLog. Contributing editor at @GeekWire. Host of @Fi_Sci_Club podcast. Main account on Threads: https://t.co/hByUWGTihz,https://pbs.twimg.com/profile_banners/13691782/1401058588,1844564894429147521,False,False,,none,https://pbs.twimg.com/profile_images/1740405798126448640/QRGUcu7b_normal.jpg,https://t.co/JJrBjMz4LW,False,13691782,2008-02-19T21:54:28.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/JJrBjMz4LW', 'expanded_url': 'http://alanboyle.com', 'display_url': 'alanboyle.com'}]","[{'start': 115, 'end': 138, 'url': 'https://t.co/hByUWGTihz', 'expanded_url': 'https://www.threads.net/@alanb0yle', 'display_url': 'threads.net/@alanb0yle'}]",38887,3636,60743,1495,1627,Seattle,"[{'start': 14, 'end': 24, 'username': 'CosmicLog'}, {'start': 49, 'end': 58, 'username': 'GeekWire'}, {'start': 68, 'end': 80, 'username': 'Fi_Sci_Club'}]",
None,reneeklahr,Renee Klahr,"Sr. Breaking News Video Producer @politico | Frmly: @NPR, @hiddenbrain, @USATODAY | Email: rklahr@politico.com | Mastodon: https://t.co/TOsATULOFW",https://pbs.twimg.com/profile_banners/389047979/1501688449,1782360087987646807,False,False,1126155237440540674,none,https://pbs.twimg.com/profile_images/877001631266516992/7IS45-Y-_normal.jpg,https://t.co/kVeJm1mOIp,False,389047979,2011-10-11T19:29:32.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/kVeJm1mOIp', 'expanded_url': 'http://www.reneeklahr.com', 'display_url': 'reneeklahr.com'}]","[{'start': 123, 'end': 146, 'url': 'https://t.co/TOsATULOFW', 'expanded_url': 'https://mas.to/@reneeklahr', 'display_url': 'mas.to/@reneeklahr'}]",3664,1303,10071,90,8448,"Washington, DC","[{'start': 33, 'end': 42, 'username': 'politico'}, {'start': 52, 'end': 56, 'username': 'NPR'}, {'start': 58, 'end': 70, 'username': 'hiddenbrain'}, {'start': 72, 'end': 81, 'username': 'USATODAY'}]",
None,LiamPetterson,Liam Petterson,,,1762992957932913086,False,False,,none,https://pbs.twimg.com/profile_images/1643020807709528064/bqBh7qnZ_normal.jpg,,True,1009340351629234176,2018-06-20T07:41:07.000Z,,,854,2496,1712,2,6312,,,
None,nealboudette,Neal Boudette,Auto reporter for the @NYTimes - DMs open. Fave movie: Spotlight. shows the power & impact of brave journalism. RT does not = endorsement,https://pbs.twimg.com/profile_banners/77271015/1674949760,1780241435893047353,False,False,,none,https://pbs.twimg.com/profile_images/1634248714427457536/3L2pKEf9_normal.jpg,https://t.co/fIr5AgqEIP,False,77271015,2009-09-25T17:57:44.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fIr5AgqEIP', 'expanded_url': 'http://www.nytimes.com/pages/automobiles/index.html', 'display_url': 'nytimes.com/pages/automobi…'}]",,6079,2430,37389,278,118716,,"[{'start': 22, 'end': 30, 'username': 'NYTimes'}]",
None,ScottNover,Scott Nover,"Freelance features writer and columnist. @slate contributing writer, @gzeromedia AI newsletter, @every contributing editor. My editorial assistant is a dog.",https://pbs.twimg.com/profile_banners/1611627979/1725462025,1844826359501373942,False,False,1833869169168732417,none,https://pbs.twimg.com/profile_images/1765560455286640640/0xNyQupf_normal.jpg,https://t.co/VS2FR1cCRy,False,1611627979,2013-07-21T23:59:14.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/VS2FR1cCRy', 'expanded_url': 'http://scottnover.com', 'display_url': 'scottnover.com'}]",,20014,3561,97743,416,204624,"Alexandria, VA","[{'start': 41, 'end': 47, 'username': 'slate'}, {'start': 69, 'end': 80, 'username': 'gzeromedia'}, {'start': 96, 'end': 102, 'username': 'every'}]",
None,David5TV,David Hurlburt,"📺 @Hearst TV Dir. of Special Projects & Group Initiatives 🧐Investigative Journalist 🛩Aviation & Tech 📍Washington, DC & Boston 🌎https://t.co/Uxg03XrQs8",https://pbs.twimg.com/profile_banners/15624305/1625265685,1843045767545807266,False,False,,none,https://pbs.twimg.com/profile_images/1411092673532923904/LNibQKaA_normal.jpg,https://t.co/HY7kflE1Rr,False,15624305,2008-07-27T22:00:30.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/HY7kflE1Rr', 'expanded_url': 'https://david5.tv/t', 'display_url': 'david5.tv/t'}]","[{'start': 127, 'end': 150, 'url': 'https://t.co/Uxg03XrQs8', 'expanded_url': 'http://hearst.com/broadcasting', 'display_url': 'hearst.com/broadcasting'}]",1815,3573,8686,60,1850,"Washington, DC & Boston, MA","[{'start': 2, 'end': 9, 'username': 'Hearst'}]",
None,rozlatiff,Rozanna Latiff,Malaysia and Brunei bureau chief at @Reuters.,https://pbs.twimg.com/profile_banners/2233993476/1417095180,1844605508659101824,False,False,,none,https://pbs.twimg.com/profile_images/1252515516024930304/vG3avNK3_normal.jpg,https://t.co/usq7wTKomH,False,2233993476,2013-12-07T05:21:33.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/usq7wTKomH', 'expanded_url': 'https://www.reuters.com/authors/rozanna-latiff/', 'display_url': 'reuters.com/authors/rozann…'}]",,5604,1738,5466,98,8464,"Kuala Lumpur, Malaysia","[{'start': 36, 'end': 44, 'username': 'Reuters'}]",
None,ArmanBazz,Arman Aghbali,Journalist | Associate Producer @TheCurrentCBC | @builttoplay | ایرانی | Brasileiro | RTs are a collective psychosis | @armanbazz.bsky.social,https://pbs.twimg.com/profile_banners/19049884/1439167610,1844774285904171163,False,False,,none,https://pbs.twimg.com/profile_images/1309240232122945536/KqX0rMf7_normal.jpg,https://t.co/2Zdtgvk13c,False,19049884,2009-01-16T01:53:26.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/2Zdtgvk13c', 'expanded_url': 'https://armanaghbali.neocities.org/', 'display_url': 'armanaghbali.neocities.org'}]",,1006,3460,7846,15,17909,"Toronto, Canada","[{'start': 32, 'end': 46, 'username': 'TheCurrentCBC'}, {'start': 49, 'end': 61, 'username': 'builttoplay'}, {'start': 119, 'end': 129, 'username': 'armanbazz'}]",
None,westerner,westerner,,,,False,False,,none,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,True,14774376,2008-05-14T15:33:26.000Z,,,0,6,0,0,3,,,
None,BoehlerPatrick,Patrick Boehler,"rarely here. 
Find me elsewhere (see pinned post)",https://pbs.twimg.com/profile_banners/154053152/1707747349,1834012991592808745,False,False,1821290869934453210,none,https://pbs.twimg.com/profile_images/1746570385116585984/qKOv5wOV_normal.jpg,https://t.co/Kf9B4mpMdJ,False,154053152,2010-06-10T07:08:05.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/Kf9B4mpMdJ', 'expanded_url': 'https://www.pboehler.net/', 'display_url': 'pboehler.net'}]",,9256,5127,8508,363,37749,Brooklyn,,
None,DrJudyStone,Judy Stone,"Author: Resilience: One Family’s Story of Hope https://t.co/HizPlFpv2t & Conducting Clinical Research https://t.co/ouKPTQlT5n ID doc, freelance
@drjudystone@mstdn.science",https://pbs.twimg.com/profile_banners/20739133/1556140416,1844852764427317457,False,False,1179783540831084549,none,https://pbs.twimg.com/profile_images/1095863315866112001/3s_-Um6O_normal.png,https://t.co/eApblC08dj,False,20739133,2009-02-13T01:42:07.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/eApblC08dj', 'expanded_url': 'http://www.drjudystone.com', 'display_url': 'drjudystone.com'}]","[{'start': 47, 'end': 70, 'url': 'https://t.co/HizPlFpv2t', 'expanded_url': 'http://bit.ly/ResilienceStone', 'display_url': 'bit.ly/ResilienceStone'}, {'start': 102, 'end': 125, 'url': 'https://t.co/ouKPTQlT5n', 'expanded_url': 'http://bit.ly/CCRText', 'display_url': 'bit.ly/CCRText'}]",14123,6425,313638,724,211972,Maryland and Maine,,
None,LoisParshley,Lois Parshley,"Investigative journalist. Also @loisparshley on Threads, Bluesky, Mastodon.",https://pbs.twimg.com/profile_banners/132237523/1401772223,1844213526480757227,False,False,,none,https://pbs.twimg.com/profile_images/1179511490992205824/aC4zMVDy_normal.jpg,https://t.co/K4wziM7WqN,False,132237523,2010-04-12T17:36:53.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/K4wziM7WqN', 'expanded_url': 'http://loisparshley.com', 'display_url': 'loisparshley.com'}]",,2987,2130,2684,79,4679,,"[{'start': 31, 'end': 44, 'username': 'loisparshley'}]",
None,RodHissong,Rod Hissong,"Journalist since birth, facts until death, news director at WAND News for now.

@wrightstate alum
@sec in-law (iykyk)",https://pbs.twimg.com/profile_banners/389944636/1722476446,1840444700337066174,False,False,,none,https://pbs.twimg.com/profile_images/1820641154330755072/6LxmKgJS_normal.jpg,https://t.co/x2tt5F3nKh,False,389944636,2011-10-13T07:06:06.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/x2tt5F3nKh', 'expanded_url': 'http://wandtv.com', 'display_url': 'wandtv.com'}]",,3062,2312,27638,79,1658,"Decatur, IL","[{'start': 80, 'end': 92, 'username': 'wrightstate'}, {'start': 98, 'end': 102, 'username': 'sec'}]",
None,moutet,Anne-Elisabeth Moutet 🇫🇷🇺🇦,"Telegraph, UnHerd, CdanslAir, BFMTV Julie jusqu'à minuit, VSD (👑), #PresquEnsemble; adopted by a cat and a wheeled suitcase.
#NAFO. 
Blocked by @georgegalloway",https://pbs.twimg.com/profile_banners/15741261/1398444550,1844834232306184246,False,False,492039950133886977,none,https://pbs.twimg.com/profile_images/3220615207/f5de31bd438f7f90b64a633452f3a6e2_normal.jpeg,https://t.co/o8ZtoRoq3t,False,15741261,2008-08-05T20:26:29.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/o8ZtoRoq3t', 'expanded_url': 'https://www.telegraph.co.uk/authors/anne-elisabeth-moutet/', 'display_url': 'telegraph.co.uk/authors/anne-e…'}]",,20195,4842,257750,372,193908,Paris,"[{'start': 144, 'end': 159, 'username': 'georgegalloway'}]","[{'start': 67, 'end': 82, 'tag': 'PresquEnsemble'}, {'start': 125, 'end': 130, 'tag': 'NAFO'}]"
None,thehenryirvine,Henry Irvine,"Writer. Reader. Hiker. Feed Her.

🐘 Mastodon: @henryirvine@mastodon.social",https://pbs.twimg.com/profile_banners/1040622067261956096/1567118227,1844416174236606796,False,False,,none,https://pbs.twimg.com/profile_images/1167207151753777152/eUmrpwMz_normal.jpg,,False,1040622067261956096,2018-09-14T15:23:29.000Z,,,514,876,1237,2,587,"San Francisco, CA",,
None,jamesfortexas,James M. Russell,"i edit and write about art, built environment, culture #txlege, religion, politics largely in texas. newsclipper. #sevvie",https://pbs.twimg.com/profile_banners/98129007/1681484174,1844858263902286228,False,False,,none,https://pbs.twimg.com/profile_images/1760425607437950976/x_Gbu8w5_normal.jpg,https://t.co/3o8262c0bA,False,98129007,2009-12-20T13:37:57.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/3o8262c0bA', 'expanded_url': 'http://muckrack.com/james-russell-5', 'display_url': 'muckrack.com/james-russell-5'}]",,4502,1471,30312,137,58037,"Fort Worth, TX",,"[{'start': 55, 'end': 62, 'tag': 'txlege'}, {'start': 114, 'end': 121, 'tag': 'sevvie'}]"
None,amerhadiazmi,Hadi Azmi,Malaysia Correspondent for @SCMPAsia. Kiplinger Fellow. Jabberwock enthusiast. 27:40. Tweets are my own.,https://pbs.twimg.com/profile_banners/606943/1658332533,1844691740944703694,False,False,1552839762767417344,none,https://pbs.twimg.com/profile_images/1792500786460852224/UR0bY6Ea_normal.jpg,https://t.co/wHyV5Mv35p,False,606943,2007-01-06T03:04:41.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/wHyV5Mv35p', 'expanded_url': 'http://hadiazmi.com', 'display_url': 'hadiazmi.com'}]",,46990,1255,26188,130,22562,Petaling Jaya,"[{'start': 27, 'end': 36, 'username': 'SCMPAsia'}]",
None,ChrisHardie,Chris Hardie,"Software developer. Newspaper publisher @WesternWayneNws @CivicSparkMedia. Journalist, writer, Laravel, WordPress. He/him. Also @chrishardie@mastodon.social",https://pbs.twimg.com/profile_banners/15702853/1550611716,1650607862291349507,False,False,1593596363266195458,none,https://pbs.twimg.com/profile_images/969457107580862466/MKiGvLXV_normal.jpg,https://t.co/oCur0PTewB,False,15702853,2008-08-02T17:19:30.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/oCur0PTewB', 'expanded_url': 'https://chrishardie.com', 'display_url': 'chrishardie.com'}]",,1675,1556,8275,74,10979,"Indiana, USA","[{'start': 40, 'end': 56, 'username': 'WesternWayneNws'}, {'start': 57, 'end': 73, 'username': 'CivicSparkMedia'}]",
None,misra,Ria Misra,"Writer. Currently: Travel & Outdoors Editor, @NYTimes Wirecutter. Previously: American Public Media podcast host, PBS NewsHour, io9, Gizmodo. Masks on, friends",https://pbs.twimg.com/profile_banners/15475207/1507426783,1820935242305192396,False,False,1703881617926996207,none,https://pbs.twimg.com/profile_images/1276190017296011265/3hLAlAzb_normal.jpg,https://t.co/83QddcDOOI,False,15475207,2008-07-17T22:57:27.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/83QddcDOOI', 'expanded_url': 'https://linktr.ee/riamisra', 'display_url': 'linktr.ee/riamisra'}]",,3465,930,698,84,2652,Los Angeles,"[{'start': 45, 'end': 53, 'username': 'NYTimes'}]",
None,michaelbolden,Michael Bolden 🏳️‍🌈,"CEO, American Press Institute @AmPress • Past: 👨🏽‍💻@sfchronicle @Stanford @knightfdn @washingtonpost | 🎓@Stanford #GoCardinal @UofAlabama #RollTide",https://pbs.twimg.com/profile_banners/14843435/1682332760,1844811611199918491,False,False,1732127600586137604,none,https://pbs.twimg.com/profile_images/1790759194770976768/nMB-OL3Y_normal.jpg,https://t.co/YrKo54HYR3,False,14843435,2008-05-20T10:22:15.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/YrKo54HYR3', 'expanded_url': 'http://bolden.us', 'display_url': 'bolden.us'}]",,6980,5961,2810,361,17122,Arlington,"[{'start': 30, 'end': 38, 'username': 'AmPress'}, {'start': 51, 'end': 63, 'username': 'sfchronicle'}, {'start': 64, 'end': 73, 'username': 'Stanford'}, {'start': 74, 'end': 84, 'username': 'knightfdn'}, {'start': 85, 'end': 100, 'username': 'washingtonpost'}, {'start': 104, 'end': 113, 'username': 'Stanford'}, {'start': 126, 'end': 137, 'username': 'UofAlabama'}]","[{'start': 114, 'end': 125, 'tag': 'GoCardinal'}, {'start': 138, 'end': 147, 'tag': 'RollTide'}]"
None,jason_paladino,Jason Paladino,grape grower & investigative journalist \\ previously: @POGOwatchdog @gridnews @vandornmovie @UCBerkeleyIRP 📱 signal: jpal.01 \\ Tips? jpaladino@pm.me,https://pbs.twimg.com/profile_banners/512653687/1717785433,1844378696825831691,False,False,,none,https://pbs.twimg.com/profile_images/1618826314437521409/1FmMFT82_normal.jpg,https://t.co/i7uYwH2wxW,False,512653687,2012-03-03T01:34:09.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/i7uYwH2wxW', 'expanded_url': 'https://muckrack.com/jason-paladino/', 'display_url': 'muckrack.com/jason-paladino/'}]",,8190,5810,6220,209,18850,,"[{'start': 55, 'end': 68, 'username': 'POGOwatchdog'}, {'start': 69, 'end': 78, 'username': 'gridnews'}, {'start': 79, 'end': 92, 'username': 'vandornmovie'}, {'start': 93, 'end': 107, 'username': 'UCBerkeleyIRP'}]",
None,firstadopter,tae kim,"THE NVIDIA WAY book author. AI, GPUs, gaming, tech, stocks. Senior writer at Barron’s. Priors: Bloomberg Opinion tech columnist, buyside. tae.kim@barrons dotcom",https://pbs.twimg.com/profile_banners/16598957/1726792757,1844853901368967581,False,True,1837107507522662758,blue,https://pbs.twimg.com/profile_images/1841182719226630144/kfjrna21_normal.jpg,https://t.co/buSzNgCPgk,False,16598957,2008-10-05T04:47:46.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/buSzNgCPgk', 'expanded_url': 'https://firstadopter.substack.com/', 'display_url': 'firstadopter.substack.com'}]",,59219,9834,58898,1364,11245,,,
None,BJMendelson,BJ Mendelson ➡️ Find me on Instagram @BJmendelson,"Author (St. Martin's Press) & Podcast Host | Just here for DMs.

Find me at @BJMendelson@mastodon.social and 
https://t.co/o5sUVPUYZQ",https://pbs.twimg.com/profile_banners/12687952/1670120511,1844519533752488041,False,False,1671225527703568390,none,https://pbs.twimg.com/profile_images/1583859252862468096/DXeZvKMI_normal.jpg,https://t.co/ebl9xUzdDf,True,12687952,2008-01-25T16:33:59.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/ebl9xUzdDf', 'expanded_url': 'https://www.stupidsexyprivacy.com', 'display_url': 'stupidsexyprivacy.com'}]","[{'start': 110, 'end': 133, 'url': 'https://t.co/o5sUVPUYZQ', 'expanded_url': 'https://bsky.app/profile/bjmendelson.bsky.social', 'display_url': 'bsky.app/profile/bjmend…'}]",438821,22601,1494,1193,272998,"New York, New York",,
